Endpoint,Method,URL,Headers,Request Body,Response Status,Response Body,Description
Authentication,POST,/api/auth/register,"Content-Type: application/json","{""username"": ""admin_user"", ""useremail"": ""admin@cmhs.com"", ""phone"": ""+1234567890"", ""password"": ""securePassword123"", ""type"": ""super_admin""}",201,"{""message"": ""User created successfully"", ""user"": {""id"": 1, ""username"": ""admin_user"", ""useremail"": ""admin@cmhs.com"", ""phone"": ""+1234567890"", ""type"": ""super_admin"", ""createdAt"": ""2025-01-05T12:00:00.000Z"", ""updatedAt"": ""2025-01-05T12:00:00.000Z""}}",Register new user account
Authentication,POST,/api/auth/login,"Content-Type: application/json","{""useremail"": ""admin@cmhs.com"", ""password"": ""securePassword123""}",200,"{""accessToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9...""}",Login user and get access token
Authentication,POST,/api/auth/refresh-token,"Cookie: refreshToken=<token>",,200,"{""accessToken"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9...""}",Refresh access token using refresh token
Authentication,POST,/api/auth/logout,,,200,"{""message"": ""Logged out successfully""}",Logout user and clear refresh token
User Management,GET,/api/users/profile,"Authorization: Bearer <access_token>",,200,"{""user"": {""id"": 1, ""username"": ""admin_user"", ""useremail"": ""admin@cmhs.com"", ""phone"": ""+1234567890"", ""type"": ""super_admin""}}",Get current user profile
User Management,PUT,/api/users/update-profile,"Authorization: Bearer <access_token>; Content-Type: application/json","{""username"": ""updated_username"", ""phone"": ""+1987654321""}",200,"{""message"": ""Profile updated successfully"", ""user"": {""id"": 1, ""username"": ""updated_username"", ""useremail"": ""admin@cmhs.com"", ""phone"": ""+1987654321"", ""type"": ""super_admin"", ""updatedAt"": ""2025-01-05T12:30:00.000Z""}}",Update current user profile
Customer Management,POST,/api/customers,"Authorization: Bearer <access_token>; Content-Type: application/json","{""fname"": ""John"", ""lname"": ""Doe"", ""email"": ""john.doe@example.com"", ""phone"": ""+1234567890"", ""password"": ""customerPassword123""}",201,"{""id"": 1, ""fname"": ""John"", ""lname"": ""Doe"", ""email"": ""john.doe@example.com"", ""phone"": ""+1234567890"", ""logincount"": 0, ""lastlogindatetime"": null, ""authorized"": true, ""forcepasswordchange"": false, ""createdAt"": ""2025-01-05T12:00:00.000Z"", ""updatedAt"": ""2025-01-05T12:00:00.000Z""}",Create new customer
Customer Management,GET,/api/customers,"Authorization: Bearer <access_token>",,200,"[{""id"": 1, ""fname"": ""John"", ""lname"": ""Doe"", ""email"": ""john.doe@example.com"", ""phone"": ""+1234567890"", ""logincount"": 0, ""lastlogindatetime"": null, ""authorized"": true, ""forcepasswordchange"": false, ""createdAt"": ""2025-01-05T12:00:00.000Z"", ""updatedAt"": ""2025-01-05T12:00:00.000Z""}]",Get all customers
Customer Management,GET,/api/customers/:id,"Authorization: Bearer <access_token>",,200,"{""id"": 1, ""fname"": ""John"", ""lname"": ""Doe"", ""email"": ""john.doe@example.com"", ""phone"": ""+1234567890"", ""logincount"": 0, ""lastlogindatetime"": null, ""authorized"": true, ""forcepasswordchange"": false, ""createdAt"": ""2025-01-05T12:00:00.000Z"", ""updatedAt"": ""2025-01-05T12:00:00.000Z""}",Get customer by ID
Customer Management,PUT,/api/customers/:id,"Authorization: Bearer <access_token>; Content-Type: application/json","{""fname"": ""John"", ""lname"": ""Updated"", ""email"": ""john.updated@example.com"", ""phone"": ""+1234567890"", ""password"": ""newPassword123""}",200,"{""message"": ""Customer updated successfully"", ""customer"": {""id"": 1, ""fname"": ""John"", ""lname"": ""Updated"", ""email"": ""john.updated@example.com"", ""phone"": ""+1234567890"", ""logincount"": 0, ""lastlogindatetime"": null, ""authorized"": true, ""forcepasswordchange"": false, ""updatedAt"": ""2025-01-05T12:30:00.000Z""}}",Update customer
Customer Management,DELETE,/api/customers/:id,"Authorization: Bearer <access_token>",,200,"{""message"": ""Customer deleted successfully""}",Delete customer
Group Management,POST,/api/groups,"Authorization: Bearer <access_token>; Content-Type: application/json","{""groupName"": ""Premium Customers"", ""description"": ""High-value customers with premium services"", ""type"": ""static""}",201,"{""message"": ""Group created successfully"", ""group"": {""id"": 1, ""groupName"": ""Premium Customers"", ""description"": ""High-value customers with premium services"", ""type"": ""static"", ""createdAt"": ""2025-01-05T12:00:00.000Z"", ""updatedAt"": ""2025-01-05T12:00:00.000Z""}}",Create new group
Group Management,GET,/api/groups,"Authorization: Bearer <access_token>",,200,"[{""id"": 1, ""groupName"": ""Premium Customers"", ""description"": ""High-value customers with premium services"", ""type"": ""static"", ""createdAt"": ""2025-01-05T12:00:00.000Z"", ""updatedAt"": ""2025-01-05T12:00:00.000Z""}]",Get all groups
Group Management,GET,/api/groups/:id,"Authorization: Bearer <access_token>",,200,"{""id"": 1, ""groupName"": ""Premium Customers"", ""description"": ""High-value customers with premium services"", ""type"": ""static"", ""createdAt"": ""2025-01-05T12:00:00.000Z"", ""updatedAt"": ""2025-01-05T12:00:00.000Z""}",Get group by ID
Group Management,PUT,/api/groups/:id,"Authorization: Bearer <access_token>; Content-Type: application/json","{""groupName"": ""Updated Premium Customers"", ""description"": ""Updated description for premium customers"", ""type"": ""static""}",200,"{""message"": ""Group updated successfully"", ""group"": {""id"": 1, ""groupName"": ""Updated Premium Customers"", ""description"": ""Updated description for premium customers"", ""type"": ""static"", ""updatedAt"": ""2025-01-05T12:30:00.000Z""}}",Update group
Group Management,DELETE,/api/groups/:id,"Authorization: Bearer <access_token>",,200,"{""message"": ""Group deleted successfully""}",Delete group
Customer-Group Management,POST,/api/customergroup,"Authorization: Bearer <access_token>; Content-Type: application/json","{""customer_id"": 1, ""group_id"": 1}",201,"{""message"": ""Customer assigned to group successfully""}",Assign customer to group
